id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1080616637932421121,1080616636363743234,1546474058000,2019-01-03,02:07:38,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"...I remain ready and willing to work with Democrats to pass a bill that secures our borders, supports the agents and officers on the ground, and keeps America Safe. Let’s get it done!",[],[],[],20884,19323,96111,[],[],https://twitter.com/realDonaldTrump/status/1080616637932421121,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080616636363743234,1080616636363743234,1546474057000,2019-01-03,02:07:37,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,Important meeting today on Border Security with Republican and Democrat Leaders in Congress. Both parties must work together to pass a Funding Bill that protects this Nation and its people – this is the first and most important duty of government...,[],[],[],15514,20659,107661,[],[],https://twitter.com/realDonaldTrump/status/1080616636363743234,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1081305634115674112,1081305634115674112,1546638327000,2019-01-04,23:45:27,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"The story in the New York Times regarding Jim Webb being considered as the next Secretary of Defense is FAKE NEWS. I’m sure he is a fine man, but I don’t know Jim, and never met him. Patrick Shanahan, who is Acting Secretary of Defense, is doing a great job!",[],[],[],16778,20596,97330,[],[],https://twitter.com/realDonaldTrump/status/1081305634115674112,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1081288316236967937,1081288316236967937,1546634198000,2019-01-04,22:36:38,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"“Job growth surges by 312,000 in December” https://www.cnbc.com/2019/01/04/nonfarm-payrolls-december-2018.html …",[],['https://www.cnbc.com/2019/01/04/nonfarm-payrolls-december-2018.html'],[],12132,17337,75407,[],[],https://twitter.com/realDonaldTrump/status/1081288316236967937,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1081198344645554176,1081198344645554176,1546612747000,2019-01-04,16:39:07,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,GREAT JOBS NUMBERS JUST ANNOUNCED!,[],[],[],24567,22904,137689,[],[],https://twitter.com/realDonaldTrump/status/1081198344645554176,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1081177511592108032,1081177511592108032,1546607780000,2019-01-04,15:16:20,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"How do you impeach a president who has won perhaps the greatest election of all time, done nothing wrong (no Collusion with Russia, it was the Dems that Colluded), had the most successful first two years of any president, and is the most popular Republican in party history 93%?",[],[],[],125183,47593,236087,[],[],https://twitter.com/realDonaldTrump/status/1081177511592108032,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1081175076727345152,1081175076727345152,1546607200000,2019-01-04,15:06:40,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"As I have stated many times, if the Democrats take over the House or Senate, there will be disruption to the Financial Markets. We won the Senate, they won the House. Things will settle down. They only want to impeach me because they know they can’t win in 2020, too much success!",[],[],[],39602,32082,156309,[],[],https://twitter.com/realDonaldTrump/status/1081175076727345152,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080997061821120512,1080997060168552448,1546564758000,2019-01-04,03:19:18,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"....President Trump deserves a lot of credit, but again, you have the anti-Trump people who are not going to give him a lot of credit.”",[],[],[],22846,14955,81391,[],[],https://twitter.com/realDonaldTrump/status/1080997061821120512,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080997060168552448,1080997060168552448,1546564757000,2019-01-04,03:19:17,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"Michael Pillsbury interviewed by @cvpayne: “They have the motive of making the President look bad – instead of President Trump being portrayed as a HERO. The first President to take China on, it’s 20 years overdue....",['cvpayne'],[],[],16632,18129,89699,[],[],https://twitter.com/realDonaldTrump/status/1080997060168552448,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '19400611', 'username': 'cvpayne'}]",,,,
1081658090792148993,1081658090792148993,1546722359000,2019-01-05,23:05:59,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"V.P. Mike Pence and team just left the White House. Briefed me on their meeting with the Schumer/Pelosi representatives. Not much headway made today. Second meeting set for tomorrow. After so many decades, must finally and permanently fix the problems on the Southern Border!",[],[],[],26559,21241,108671,[],[],https://twitter.com/realDonaldTrump/status/1081658090792148993,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
